SHOE_NAME,ARCH_TYPE,BRAND,CUSHIONING,DISTANCE,FEATURES,FLEXIBILITY,FOREFOOT_HEIGHT,HEEL_HEIGHT,HEEL_TOE_DROP,MSRP,PRONATION,RELEASE_DATE,STRIKE_PATTERN,TECHNOLOGY,TERRAIN,TOEBOX,USE,WATERPROOFING,WEIGHT,WIDTH
On Cloud,High arch,On,Balanced (2/3),Long distance,"Cushioned, Breathable, Comfortable",Flexible (4/5),18mm,24mm,6mm,$130,"Underpronation, Supination, Neutral Pronation","2018 or older, Hide previous models","Forefoot/Midfoot strike, Heel strike",N/A,Road,Narrow,"Walking, All-day wear, Treadmill, Jogging",N/A,8.1oz,"Narrow, Normal, Wide, X-Wide"
Hoka Clifton 8,High arch,Hoka,Plush (3/3),"Marathon, Long distance","Cushioned, Orthotic friendly, Breathable, Removable insole, Comfortable",Moderate (3/5),24mm,29mm,5mm,$130,"Underpronation, Supination, Neutral Pronation",2021,Forefoot/Midfoot strike,N/A,Road,Wide,"Walking, All-day wear, Treadmill, Jogging",N/A,8.8oz,"Normal, Wide"
Brooks Ghost 14,High arch,Brooks,Plush (3/3),Long distance,"Cushioned, Orthotic friendly, Sustainable, For beginners, Comfortable",Flexible (4/5),24mm,36mm,12mm,$140,"Underpronation, Supination, Neutral Pronation",2021,Heel strike,N/A,Road,Medium,"Walking, All-day wear, Jogging",N/A,9.9oz,"Narrow, Normal, Wide, X-Wide"
Adidas Ultraboost,High arch,Adidas,Plush (3/3),N/A,"Cushioned, Sockless wear, Breathable, Comfortable",Flexible (4/5),12mm,22mm,10mm,$180,"Underpronation, Supination, Neutral Pronation",2018 or older,Heel strike,N/A,Road,Medium,"Walking, All-day wear, Treadmill, Jogging",N/A,10.7oz,Normal
Brooks Adrenaline GTS 22,Low arch,Brooks,Firm (1/3),"Marathon, Long distance","Cushioned, Orthotic friendly, Breathable, For beginners, Removable insole, Comfortable",Flexible (4/5),12mm,24mm,12mm,$140,Overpronation,"2021, Hide previous models",Heel strike,N/A,Road,Medium,"All-day wear, Walking, Treadmill, Jogging",N/A,10.2oz,"Narrow, Normal, Wide, X-Wide"
Altra Lone Peak 6,High arch,Altra,Balanced (2/3),"Marathon, Long distance","Cushioned, Breathable, Rock plate, Comfortable",Moderate (3/5),25mm,25mm,0mm,$140,"Underpronation, Supination, Neutral Pronation",2022,Forefoot/Midfoot strike,N/A,Trail,Extra Wide,"Hiking, Mud, Off-trail, Snow, Spartan race (OCR)",N/A,9.7oz,"Normal, Wide"
Adidas Ultraboost 22,High arch,Adidas,Balanced (2/3),Long distance,"Cushioned, Breathable, Slip-on, Comfortable, Expensive",Moderate (3/5),21mm,31mm,10mm,$190,"Underpronation, Supination, Neutral Pronation","2021, Hide previous models",Heel strike,N/A,Road,Wide,"Walking, Treadmill, Jogging",N/A,11.7oz,Normal
Brooks Glycerin 20,High arch,Brooks,Plush (3/3),Long distance,"Cushioned, Orthotic friendly, Breathable, Sustainable, For beginners, Comfortable",Moderate (3/5),24mm,34mm,10mm,$160,"Underpronation, Supination, Neutral Pronation","2022, Hide previous models",Heel strike,N/A,Road,Medium,"All-day wear, Walking, Treadmill, Jogging",N/A,10.1oz,"Normal, Wide"
Brooks Revel 5,High arch,Brooks,Balanced (2/3),N/A,"Cushioned, Breathable, Comfortable, Cheap",Flexible (4/5),12mm,20mm,8mm,$100,"Underpronation, Supination, Neutral Pronation",2021,"Forefoot/Midfoot strike, Heel strike",N/A,Road,Wide,"All-day wear, Walking, Treadmill, Jogging",N/A,8.8oz,Normal
Nike Air Zoom Pegasus 39,High arch,Nike,Balanced (2/3),"Marathon, Long distance","Cushioned, Breathable, For beginners, Comfortable",Moderate (3/5),23mm,33mm,10mm,$130,"Underpronation, Supination, Neutral Pronation","2022, Hide previous models",Heel strike,N/A,Road,Medium,"All-day wear, Walking, Jogging",N/A,9.2oz,"Normal, X-Wide"
Saucony Endorphin Speed 2,High arch,Saucony,Balanced (2/3),"Marathon, Long distance","Cushioned, Comfortable",Flexible (4/5),27.5mm,35.5mm,8mm,$160,"Underpronation, Supination, Neutral Pronation",2021,"Forefoot/Midfoot strike, Heel strike",N/A,Road,Medium,N/A,N/A,8oz,Normal
Brooks Ghost 15,High arch,Brooks,Balanced (2/3),N/A,"Cushioned, Breathable, For beginners, Comfortable",Moderate (3/5),35mm,23mm,12mm,$140,"Underpronation, Supination, Neutral Pronation","2022, Hide previous models",Heel strike,N/A,Road,Medium,"Walking, Treadmill, Jogging",N/A,10.1oz,"Narrow, Normal, Wide, X-Wide"
Hoka Mach 5,High arch,Hoka,Balanced (2/3),"Marathon, Long distance","Cushioned, Orthotic friendly, Breathable, Sustainable, Comfortable",Moderate (3/5),24mm,29mm,5mm,$140,"Underpronation, Supination, Neutral Pronation","2022, Hide previous models",Forefoot/Midfoot strike,N/A,Road,Wide,"Walking, Treadmill, Jogging",N/A,8.2oz,"Narrow, Normal, Wide"
Hoka Clifton 9,N/A,Hoka,Balanced (2/3),Long distance,"Cushioned, Breathable, For beginners",Moderate (3/5),27mm,32mm,5mm,$145,N/A,"New, Hide previous models","Forefoot/Midfoot strike, Heel strike",N/A,Road,Narrow,"All-day wear, Walking",N/A,8.7oz,"Normal, Wide"
Nike React Infinity Run Flyknit 3,High arch,Nike,Balanced (2/3),"Marathon, Long distance","Cushioned, Breathable, Comfortable",Flexible (4/5),26mm,34mm,8mm,$160,"Underpronation, Supination, Neutral Pronation","2022, Hide previous models","Forefoot/Midfoot strike, Heel strike",N/A,Road,Wide,"All-day wear, Walking, Jogging",N/A,10.9oz,"Narrow, Normal"
