SHOE_NAME,Brand,Closure,Collaboration,Designed By,Embellishment,Inspired From,Lace Type,MSRP (USD),Origin,Print,Release Date,Season,Style,Top,Weight (oz)
New Balance 550,New Balance,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",110.00,Asian,{},2021,"{Spring, Summer}","{Retro, Sporty}",Low,
New Balance 327,New Balance,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",90.00,,{},2020,"{Spring, Summer}","{Retro, Sporty}",Low,
New Balance 574,New Balance,{Laces},,Steven Smith,,Running,"{Cotton Lace, Flat Lace}",80.00,,{},,"{Spring, Summer}","{Classic, Sporty}",Low,12.0
Adidas Superstar,Adidas,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",90.00,,{},,"{Spring, Summer}","{Classic, Sporty, Minimalist}",Low,
Adidas Gazelle,Adidas,{Laces},,,,Training,"{Cotton Lace, Flat Lace}",80.00,Asian,{},,"{Spring, Summer}","{Classic, Sporty, Minimalist}",Low,
Adidas Samba,Adidas,{Laces},,,,Soccer,"{Cotton Lace, Flat Lace}",90.00,Asian,{},,"{Spring, Summer}","{Classic, Sporty, Minimalist}",Low,
Nike Air Max 270,Nike,{Laces},,Marie Odinot,,Running,"{Cotton Lace, Flat Lace}",150.00,Asian,{},,"{Spring, Summer}","{Sporty, Chunky}",Low,
Adidas Stan Smith,Adidas,{Laces},,,,Tennis,"{Cotton Lace, Flat Lace}",90.00,,{},,"{Spring, Summer, Fall}","{Classic, Sporty, Minimalist}",Low,
Adidas Ozweego,Adidas,{Laces},,,,Running,"{Round Lace, Synthetic Lace}",110.00,,{},2019,"{Spring, Summer}","{Retro, Dad, Sporty, Chunky}",Low,
Nike Air Max 97,Nike,{Laces},,Christian Tresser,,Running,{Round Lace},170.00,Asian,{},2019,"{Spring, Summer}","{Classic, Sporty, Chunky}",Low,
Adidas Forum Low,Adidas,"{Velcro, Laces}",,,,Basketball,"{Cotton Lace, No Lace, Flat Lace}",110.00,,"{Snakeskin, Animal}",,"{Spring, Summer, Fall}","{Retro, Sporty, Minimalist}",Low,
Nike Air Max 90,Nike,{Laces},,Tinker Hatfield,Embroidered,Running,"{Cotton Lace, Flat Lace}",120.00,Asian,{},,"{Spring, Summer}","{Classic, Sporty, Chunky}",Low,
Jordan 6 Rings,Jordan,"{Velcro, Laces}",,,,Basketball,"{Round Lace, Synthetic Lace, No Lace}",170.00,,{},,"{Spring, Summer, Fall}","{Retro, Sporty}",Mid,
New Balance 9060,New Balance,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",150.00,,{},2022,"{Spring, Summer, Fall}","{Sporty, Futuristic}",Low,14.1
New Balance 530,New Balance,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",100.00,,{},,"{Spring, Summer}","{Retro, Sporty}",Low,
Air Jordan 1 Mid,Jordan,{Laces},,Peter Moore,,Basketball,"{Cotton Lace, Flat Lace}",115.00,Asian,{Tie Dye},2021,"{Spring, Summer}","{Classic, Sporty}",Mid,
Clarks Wallabee,Clarks,{Laces},,,,Casual,{},160.00,,{},2022,"{Spring, Summer, Fall}","{Classic, Minimalist, Dressy}",,11.0
Nike Air Max 95,Nike,{Laces},,Sergio Lozano,,Running,"{Cotton Lace, Flat Lace}",180.00,Asian,{},,"{Spring, Summer, Fall}","{Classic, Sporty, Chunky}",Low,
